name,size_bytes,currency,price,review_count,rating,content_rating,primary_genre
PAC-MAN Premium,100788224,USD,3.99,21292,4,4+,Games
Evernote - stay organized,158578688,USD,0,161065,4,4+,Productivity
"WeatherBug - Local Weather, Radar, Maps, Alerts",100524032,USD,0,188583,3.5,4+,Weather
"eBay: Best App to Buy, Sell, Save! Online Shopping",128512000,USD,0,262241,4,12+,Shopping
Bible,92774400,USD,0,985920,4.5,4+,Reference
Shanghai Mahjong,10485713,USD,0.99,8253,4,4+,Games
PayPal - Send and request money safely,227795968,USD,0,119487,4,4+,Finance
Pandora - Music & Radio,130242560,USD,0,1126879,4,12+,Music
PCalc - The Best Calculator,49250304,USD,9.99,1117,4.5,4+,Utilities
Ms. PAC-MAN,70023168,USD,3.99,7885,4,4+,Games
Solitaire by MobilityWare,49618944,USD,4.99,76720,4.5,4+,Games
SCRABBLE Premium,227547136,USD,7.99,105776,3.5,4+,Games
Google – Search made just for mobile,179979264,USD,0,479440,3.5,17+,Utilities
Bank of America - Mobile Banking,160925696,USD,0,119773,3.5,4+,Finance
FreeCell,55153664,USD,4.99,6340,4.5,4+,Games
TripAdvisor Hotels Flights Restaurants,207907840,USD,0,56194,4,4+,Travel
Facebook,389879808,USD,0,2974676,3.5,4+,Social Networking
"Yelp - Nearby Restaurants, Shopping & Services",167407616,USD,0,223885,4,12+,Travel
"Shazam - Discover music, artists, videos & lyrics",147093504,USD,0,402925,4,12+,Music
Crash Bandicoot Nitro Kart 3D,10735026,USD,2.99,31456,4,4+,Games
iQuran,70707916,USD,1.99,2929,4.5,4+,Reference
:) Sudoku +,6169600,USD,2.99,11447,5,4+,Games
"Yahoo Sports - Teams, Scores, News & Highlights",130583552,USD,0,137951,4,4+,Sports
Mileage Log | Fahrtenbuch,71203840,USD,5.99,8,4.5,4+,Business
Cleartune - Chromatic Tuner,11423008,USD,3.99,3241,4,4+,Music
Lifesum – Inspiring healthy lifestyle app,188017664,USD,0,5795,3.5,4+,Health & Fitness
Hangman.,4765696,USD,0,42316,3,9+,Games
iTranslate - Language Translator & Dictionary,287933440,USD,0,123215,3.5,4+,Productivity
TouchOSC,4263936,USD,4.99,782,4,4+,Music
RadarScope,172772352,USD,9.99,3449,4,4+,Weather
LinkedIn,273844224,USD,0,71856,3.5,4+,Social Networking
Period Tracker Deluxe,40216576,USD,1.99,13350,4.5,12+,Health & Fitness
Election 2016 Map,2386944,USD,0.99,137,3,4+,Entertainment
Blackjack by MobilityWare,105431040,USD,0,180087,3.5,12+,Games
White Noise,44129280,USD,0.99,33426,4,4+,Health & Fitness
iHeartRadio – Free Music & Radio Stations,116443136,USD,0,293228,4,12+,Music
Line Rider iRide™,1646592,USD,1.99,21609,3.5,9+,Entertainment
Deliveries: a package tracker,30016512,USD,4.99,4684,4,4+,Utilities
Hurricane Pro,29518848,USD,2.99,2104,4.5,17+,Weather
Fieldrunners,66872320,USD,2.99,41633,4,9+,Games
Juxtaposer,45229056,USD,2.99,3610,4.5,4+,Photo & Video
Deezer - Listen to your Favorite Music & Playlists,127470592,USD,0,4677,3,12+,Music
iStellar,44241920,USD,3.99,30,3.5,4+,Navigation
Sonos Controller,107983872,USD,0,48905,4.5,4+,Music
Avertinoo,8044544,USD,4.99,32,3,4+,Navigation
Google Earth,37214208,USD,0,446185,3.5,4+,Travel
iFart - The Original Fart Sounds App,60320768,USD,1.99,21825,3,9+,Entertainment
PAC-MAN,100849664,USD,0,508808,3,4+,Games
FOX Sports Mobile,72748032,USD,0,57500,3,4+,Sports
First Words Animals,32164864,USD,1.99,2576,4,4+,Games
WeatherPro,69079040,USD,1.99,1572,4,4+,Weather
HotSchedules,82037760,USD,2.99,3292,3,4+,Business
Star Walk - Find Stars And Planets in Sky Above,150195200,USD,4.99,8932,4.5,4+,Education
"The Weather Channel: Forecast, Radar & Alerts",199734272,USD,0,495626,3.5,4+,Weather
Big Day - Event Countdown,13156352,USD,0.99,812,3,4+,Lifestyle
12 Steps AA Companion - Alcoholics Anonymous,30367744,USD,2.99,1583,3.5,12+,Lifestyle
OpenTable - Restaurant Reservations,93420544,USD,0,113936,4.5,4+,Food & Drink
VLC Remote,31505408,USD,4.99,2027,4,4+,Entertainment
gFlashPro - Flashcards & Tests,25997312,USD,3.99,768,4,4+,Education
Lose It! – Weight Loss Program and Calorie Counter,182054912,USD,0,373835,4,4+,Health & Fitness
Target,138754048,USD,0,108131,3,4+,Shopping
Fish Tycoon,13564835,USD,0.99,18943,3.5,4+,Games
"Amazon App: shop, scan, compare, and read reviews",133688320,USD,0,126312,3.5,4+,Shopping
Touchgrind,55205888,USD,4.99,35735,4,4+,Games
ProPresenter Remote,46922752,USD,4.99,410,3,4+,Utilities
iReal Pro - Music Book & Play Along,63283200,USD,12.99,1390,4.5,4+,Music
NRJ Radio,53426176,USD,0,38,3.5,4+,Music
Chase Mobile℠,39505920,USD,0,233270,4.5,4+,Finance
大辞林,210088960,USD,21.99,64,4.5,4+,Reference
Allrecipes Dinner Spinner,36399104,USD,0,109349,3.5,12+,Food & Drink
新浪新闻-阅读最新时事热门头条资讯视频,115143680,USD,0,2229,3.5,17+,News
MotionX GPS,56481792,USD,1.99,14970,3.5,4+,Navigation
AccuWeather - Weather for Life,181941248,USD,0,144214,3.5,4+,Weather
"Mint: Personal Finance, Budget, Bills & Money",162891776,USD,0,232940,4,4+,Finance
ABC News - US & World News + Live Video,98108416,USD,0,48407,3,12+,News
Rowmote: Remote Control for Mac,54088704,USD,0.99,5531,3.5,4+,Utilities
