name,total_review_count,total_expected_profit
PewDiePie's Tuber Simulator,1590317,508000
Geometry Dash Lite,6552010,478000
Domino's Pizza USA,1291559,478000
"Egg, Inc.",659234,478000
Fernanfloo,529481,478000
The Guardian,256168,478000
ASOS,191548,478000
ASOS,191523,478000
Cytus,549657,468100
WhatsApp Messenger,69406905,460000
WhatsApp Messenger,69397261,460000
Instagram,68739004,460000
Instagram,68738871,460000
Instagram,68671475,460000
Clash of Clans,47024693,460000
Clash of Clans,47022528,460000
Clash of Clans,47012252,460000
Subway Surfers,28431462,460000
Subway Surfers,28430204,460000
Subway Surfers,28429303,460000
Subway Surfers,28428374,460000
Subway Surfers,28417813,460000
Clash Royale,23403656,460000
Clash Royale,23401696,460000
Clash Royale,23400429,460000
Clash Royale,23392201,460000
Candy Crush Saga,23391982,460000
Candy Crush Saga,23391510,460000
Candy Crush Saga,23390250,460000
Candy Crush Saga,23388471,460000
Candy Crush Saga,23381249,460000
My Talking Tom,15016328,460000
My Talking Tom,15015082,460000
My Talking Tom,15009095,460000
Shadow Fight 2,11081056,460000
Shadow Fight 2,11078268,460000
Hay Day,10620530,460000
Pou,10489801,460000
Pou,10489117,460000
Pou,10489091,460000
Pou,10486924,460000
My Talking Angela,9937916,460000
My Talking Angela,9936457,460000
My Talking Angela,9936378,460000
My Talking Angela,9930918,460000
Hill Climb Racing,9032030,460000
Hill Climb Racing,9032001,460000
Hill Climb Racing,9031770,460000
Hill Climb Racing,9029634,460000
Asphalt 8: Airborne,8578282,460000
Temple Run 2,8414365,460000
Temple Run 2,8414362,460000
Temple Run 2,8414148,460000
Temple Run 2,8413820,460000
Temple Run 2,8411353,460000
Farm Heroes Saga,7803225,460000
Farm Heroes Saga,7801994,460000
Farm Heroes Saga,7801986,460000
Farm Heroes Saga,7801850,460000
Farm Heroes Saga,7801709,460000
PicsArt Photo Studio: Collage Maker & Pic Editor,7623637,460000
PicsArt Photo Studio: Collage Maker & Pic Editor,7619177,460000
Trivia Crack,6821242,460000
Wish - Shopping Made Fun,6354041,460000
Wish - Shopping Made Fun,6352999,460000
Wish - Shopping Made Fun,6352958,460000
Wish - Shopping Made Fun,6342699,460000
Candy Crush Soda Saga,6332489,460000
Candy Crush Soda Saga,6332274,460000
Candy Crush Soda Saga,6331957,460000
Hungry Shark Evolution,6158411,460000
Hungry Shark Evolution,6158118,460000
Hungry Shark Evolution,6155326,460000
Boom Beach,5833582,460000
Temple Run,5724979,460000
Score! Hero,5505071,460000
Score! Hero,5504070,460000
Fruit Ninja®,5418473,460000
Traffic Racer,5410239,460000
Traffic Racer,5410097,460000
Pinterest,5367065,460000
Pinterest,5362560,460000
Jetpack Joyride,5043810,460000
Jetpack Joyride,5043086,460000
Zombie Tsunami,4952762,460000
Zombie Tsunami,4952720,460000
Zombie Tsunami,4952433,460000
Zombie Tsunami,4952128,460000
Zombie Tsunami,4950087,460000
ROBLOX,4634511,460000
ROBLOX,4634476,460000
ROBLOX,4633531,460000
ROBLOX,4633503,460000
ROBLOX,4632412,460000
ROBLOX,4631009,460000
ROBLOX,4630967,460000
ROBLOX,4627028,460000
Township,4532118,460000
SimCity BuildIt,4416925,460000
Smash Hit,4273951,460000
Sonic Dash,4196954,460000
Sonic Dash,4195855,460000
Bible,3426615,460000
Need for Speed™ No Limits,3379298,460000
Cooking Fever,3305973,460000
Cooking Fever,3305662,460000
War Robots,3170373,460000
MORTAL KOMBAT X,3154364,460000
Injustice: Gods Among Us,3053409,460000
Fallout Shelter,2921319,460000
Fallout Shelter,2918538,460000
Hill Climb Racing 2,2784499,460000
Hill Climb Racing 2,2784264,460000
Angry Birds Rio,2781523,460000
Angry Birds Rio,2781465,460000
Angry Birds Rio,2781369,460000
Angry Birds Rio,2781171,460000
Angry Birds Epic RPG,2719285,460000
MARVEL Contest of Champions,2702514,460000
MARVEL Contest of Champions,2701662,460000
MARVEL Future Fight,2374948,460000
Fishdom,2197797,460000
Fishdom,2197147,460000
Summoners War,2182676,460000
Swamp Attack,2136203,460000
Swamp Attack,2136186,460000
Microsoft Word,2132125,460000
Microsoft Word,2132124,460000
Microsoft Word,2126743,460000
Episode - Choose Your Story,1998284,460000
Episode - Choose Your Story,1996964,460000
Toy Blast,1965404,460000
Toy Blast,1965072,460000
Real Basketball,1803317,460000
Call of Duty®: Heroes,1783562,460000
Geometry Dash Meltdown,1708599,460000
Flow Free,1669482,460000
Flow Free,1669463,460000
Flow Free,1669414,460000
Flow Free,1669150,460000
My Horse,1627195,460000
Frozen Free Fall,1625139,460000
Frozen Free Fall,1624797,460000
Frozen Free Fall,1624790,460000
Star Wars™: Galaxy of Heroes,1583958,460000
Photo Editor by Aviary,1530233,460000
Photo Editor by Aviary,1530223,460000
Doodle Jump,1478832,460000
Red Ball 4,1442265,460000
Yahoo Weather,1424640,460000
Chase Mobile,1408871,460000
The Sims™ FreePlay,1378475,460000
The Sims™ FreePlay,1378383,460000
Hungry Shark World,1267074,460000
Hungry Shark World,1266912,460000
Angry Birds Star Wars,1252193,460000
Bad Piggies,1195218,460000
Rolling Sky,1147882,460000
Microsoft Excel,1104046,460000
Microsoft Excel,1103921,460000
Zombie Catchers,1007601,460000
Zombie Catchers,1007528,460000
Zombie Catchers,1007468,460000
Zombie Catchers,1007391,460000
Zombie Catchers,1007296,460000
Zombie Catchers,1005963,460000
Solitaire,933313,460000
Google Docs,880240,460000
Google Docs,880233,460000
Choices: Stories You Play,841036,460000
Choices: Stories You Play,840853,460000
Plants vs. Zombies™ 2,835026,460000
Solitaire,833319,460000
PES CLUB MANAGER,786241,460000
Bad Piggies HD,783985,460000
FINAL FANTASY BRAVE EXVIUS,773871,460000
Geometry Dash World,765742,460000
Geometry Dash World,764952,460000
Starbucks,759352,460000
Starbucks,759233,460000
Talking Tom Bubble Shooter,689795,460000
Solitaire,679740,460000
Inside Out Thought Bubbles,645279,460000
Bullet Force,643448,460000
Xbox,628846,460000
Design Home,563229,460000
Disney Crossy Road,552659,460000
Hot Wheels: Race Off,523795,460000
Hot Wheels: Race Off,523750,460000
Google Sheets,521001,460000
Google Sheets,520999,460000
Microsoft OneNote,520281,460000
Microsoft OneNote,520278,460000
Microsoft OneNote,520276,460000
Real Racing 3,518937,460000
Real Racing 3,518867,460000
YouTube Kids,499273,460000
YouTube Kids,499254,460000
YouTube Kids,498649,460000
YouTube Kids,498411,460000
Nyan Cat: Lost In Space,447710,460000
Dude Perfect 2,430009,460000
Dude Perfect 2,429786,460000
Hitman Sniper,416744,460000
Plants vs. Zombies™ Heroes,395720,460000
Plants vs. Zombies™ Heroes,395550,460000
Animal Jam - Play Wild!,388960,460000
Animal Jam - Play Wild!,388724,460000
Bejeweled Classic,386360,460000
The CW,385577,460000
The CW,385518,460000
GroupMe,359021,460000
Discord - Chat for Gamers,314499,460000
Angry Birds Blast,277993,460000
GMX Mail,258658,460000
Narcos: Cartel Wars,249287,460000
WGT Golf Game by Topgolf,201368,460000
Verizon Cloud,192114,460000
ClassDojo,183990,460000
ClassDojo,183989,460000
ClassDojo,183976,460000
Pineapple Pen,163694,460000
